restaurant_name,restaurant_type,rating,num_ratings,avg_cost,has_online_order,has_table_booking,cuisines,area,address
Midnight Express,"Takeaway, Delivery",2.8,26,650.0,0,0,"North Indian, Chinese, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block
Midnight Food Point,Delivery,2.7,37,500.0,1,0,"North Indian, Chinese, Mughlai, Biryani",Kalyan Nagar,Kalyan Nagar
Midnight Hunger Project,Delivery,3.2,6,300.0,0,0,"North Indian, South Indian, Chinese",New Bel Road,New Bel Road
Midnight Hunger Solutions 24/7,Delivery,2.1,252,500.0,1,0,"North Indian, Mughlai, Chinese",Brigade Road,Indiranagar
Midnight Mania,Delivery,3.8,599,700.0,1,0,"Pizza, Italian, Beverages",Brookefield,Marathahalli
Midnight Pizza Slurpp,Delivery,3.7,99,700.0,0,0,"Italian, Pizza",Koramangala 4Th Block,Koramangala 4Th Block
Midnight Restro,Delivery,3.4,55,500.0,1,0,"North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",Btm
Midnight Special,Delivery,3.7,26,500.0,1,0,"North Indian, Fast Food, Chinese",Koramangala 5Th Block,Hsr
Mighty Paws,Cafe,4.0,136,500.0,1,0,Cafe,Bellandur,Sarjapur Road
Mighty Small,"Casual Dining, Bar",4.1,258,1200.0,0,0,"Continental, Chinese",Indiranagar,Mg Road
Mikusu - Conrad Bengaluru,Fine Dining,4.1,80,3000.0,0,1,"Japanese, Chinese, Thai",Brigade Road,Ulsoor
Milano Ice Cream,Dessert Parlor,4.5,197,400.0,0,0,"Ice Cream, Desserts",Basavanagudi,Jayanagar
Milk N Shakes,Beverage Shop,3.7,45,300.0,1,0,Beverages,Brigade Road,Koramangala 8Th Block
Milkshake Kulture,Beverage Shop,3.5,10,300.0,0,0,Beverages,Electronic City,Electronic City
Milkyway Ice Creams,Food Court,3.7,25,300.0,1,0,Ice Cream,Bellandur,Bellandur
Milkyway Ice Creams & Fast Food,Quick Bites,2.8,40,200.0,1,0,"Fast Food, Ice Cream, Beverages",Brookefield,"Itpl Main Road, Whitefield"
Millennium Plaza,Casual Dining,3.4,19,700.0,1,0,North Indian,Electronic City,Electronic City
Millers 46,Casual Dining,4.4,2266,1100.0,0,1,"American, Continental, Steak",Church Street,Vasanth Nagar
Millet Mama,Quick Bites,3.9,18,200.0,1,0,"South Indian, Healthy Food",Banashankari,Basavanagudi
Mimansa @ Foxtrot,Cafe,4.4,190,1000.0,1,1,Cafe,Hsr,Koramangala 3Rd Block
Min Mini Punjabi Dhaba,Quick Bites,3.9,85,400.0,1,0,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block
Mini Adiga'S,Quick Bites,2.8,27,250.0,0,0,"South Indian, North Indian, Chinese, Street Food, Juices","Byresandra,Tavarekere,Madiwala",Btm
Mini Fast Food,Quick Bites,3.1,11,150.0,0,0,"Fast Food, Chinese",Frazer Town,Frazer Town
Mini Forest,Quick Bites,3.3,6,500.0,0,0,"Fast Food, Desserts",Bannerghatta Road,Jp Nagar
Mini Punjabi Dhaba,Quick Bites,4.2,287,350.0,1,0,North Indian,Banashankari,Banashankari
Mini Wok,Quick Bites,2.8,40,200.0,0,0,"Chinese, Fast Food",Indiranagar,Indiranagar
Minimelts,Dessert Parlor,3.9,66,200.0,0,0,Ice Cream,Lavelle Road,Brigade Road
Ministry Of Food - Hilton Bangalore Embassy Golflinks,Fine Dining,4.2,468,3000.0,0,1,"North Indian, Asian, South Indian, Italian, European",Koramangala 4Th Block,Domlur
Mint And Mustard,Casual Dining,4.0,232,750.0,1,0,"North Indian, Chinese",Banashankari,Basavanagudi
Mint Masala,Casual Dining,2.8,252,1000.0,0,0,"North Indian, Chinese",Church Street,Infantry Road
Mint Spice Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚É & Restaurant,Casual Dining,3.0,12,500.0,1,0,"North Indian, Chinese",Bellandur,Bellandur
Mint Spice Cafƒƒ‚Ƒƒ‚‚Ƒƒƒ‚‚Ƒ‚‚Ƒƒƒ‚Ƒƒ‚‚‚Ƒƒ‚‚Ƒ‚‚É & Restaurant,Casual Dining,3.0,12,500.0,1,0,"North Indian, Chinese",Sarjapur Road,Bellandur
Minuit 12,"Takeaway, Delivery",2.8,40,350.0,1,0,"North Indian, Chinese, Fast Food",Marathahalli,Marathahalli
Minus 4,Dessert Parlor,3.2,4,300.0,0,0,Desserts,Sarjapur Road,Sarjapur Road
Mira'S Ranna-Ghor,Delivery,3.6,15,250.0,0,0,Bengali,Sarjapur Road,Sarjapur Road
Mirch,Quick Bites,3.7,94,400.0,1,0,"North Indian, Biryani","Byresandra,Tavarekere,Madiwala",Hsr
Mirch Masala,Quick Bites,3.4,6,500.0,1,0,North Indian,Bannerghatta Road,Jp Nagar
Mirchi Bites- Spice Heaven,Casual Dining,2.7,12,650.0,1,0,"Hyderabadi, Biryani",Brookefield,Marathahalli
Miro Bar - Miraya Hotel & Residences,Lounge,3.8,26,2000.0,0,0,"North Indian, Chinese, Thai, Asian",Brookefield,Whitefield
Misal Darbar,Quick Bites,3.0,21,200.0,1,0,Maharashtrian,Indiranagar,Indiranagar
