restaurant_name,rating,avg_cost,area,primary_cuisine,cluster_name
Agraharam Meal,3.7,300.0,Marathahalli,North Indian,Budget-Friendly
Aha Juice Bar,3.6,200.0,Bannerghatta Road,Beverages,Budget-Friendly
Ahaan Restaurant,2.8,300.0,Frazer Town,North Indian,Budget-Friendly
Ahimsaamrit Green Cafe,3.4,800.0,Indiranagar,Healthy Food,Luxury Premium
Ahmad'S Chicken Hut,3.2,200.0,Kalyan Nagar,North Indian,Budget-Friendly
Ahmed'S Little Hut,2.8,250.0,Bannerghatta Road,Fast Food,Budget-Friendly
Ahmeds Takeaway Restaurant,2.8,250.0,Frazer Town,North Indian,Budget-Friendly
Aioli,4.2,1400.0,Kalyan Nagar,Mediterranean,Luxury Premium
Airlines Hotel,4.0,400.0,Brigade Road,South Indian,Mid-Range
Aisha Tharavad,3.5,400.0,Koramangala 6Th Block,South Indian,Mid-Range
Aishwarya,3.3,450.0,Whitefield,Chinese,Luxury Premium
Aishwarya Parkland,2.9,500.0,Bannerghatta Road,Chinese,Luxury Premium
Aishwarya Sweets,3.6,250.0,Malleshwaram,Mithai,Budget-Friendly
Aishwarya Uphar,2.8,150.0,Brigade Road,South Indian,Budget-Friendly
Ajwa Thalassery Biryani,3.9,500.0,Bellandur,Biryani,Luxury Premium
Akkad Bakkad,3.9,600.0,Electronic City,North Indian,Luxury Premium
Aks Family Dhaba And Restaurant,3.6,500.0,Marathahalli,North Indian,Luxury Premium
Akshara,3.8,700.0,Electronic City,North Indian,Luxury Premium
Akshatha Nati Style,3.7,500.0,Rajajinagar,South Indian,Luxury Premium
Akshaya Bar And Restaurant,2.8,600.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Akshaya Biryani,3.6,300.0,Bellandur,Biryani,Budget-Friendly
Akshaya Deluxe,4.0,500.0,New Bel Road,North Indian,Luxury Premium
Akshaya Donne Biriyani,3.0,300.0,Jp Nagar,Biryani,Budget-Friendly
Akshaya Family Restaurant,3.2,150.0,Kalyan Nagar,South Indian,Budget-Friendly
Akshaya Grand,3.4,750.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Akshaya Sambrama Veg Restaurant,3.2,200.0,Church Street,South Indian,Budget-Friendly
Akss - India Reimagined,4.2,1800.0,Malleshwaram,Modern Indian,Luxury Premium
Al Amal Cafe,4.0,300.0,Kalyan Nagar,Cafe,Budget-Friendly
Al Amanah Cafe,4.4,300.0,Frazer Town,Middle Eastern,Budget-Friendly
Al Ameen Rolls Corner,3.7,200.0,Kalyan Nagar,Rolls,Budget-Friendly
Al Barack Cafetaria,3.6,300.0,Kalyan Nagar,Arabian,Budget-Friendly
Al Daaz,4.2,550.0,Bellandur,North Indian,Luxury Premium
Al Diwan Biryanis And More,3.2,300.0,Jayanagar,Biryani,Budget-Friendly
Al Ghani Resetaurant,3.3,400.0,Kammanahalli,Mughlai,Mid-Range
Al Habibi Restaurant,3.5,300.0,"Byresandra,Tavarekere,Madiwala",North Indian,Budget-Friendly
Al Hayath,3.5,200.0,Koramangala 5Th Block,North Indian,Budget-Friendly
Al Hayath Ambur Biryani,3.3,200.0,Koramangala 4Th Block,Biryani,Budget-Friendly
Al Karim,3.7,400.0,Kammanahalli,Mughlai,Mid-Range
Al Khaleej Snacks Corner,2.8,200.0,Basavanagudi,Lebanese,Budget-Friendly
Al Khansah,3.9,550.0,Bellandur,Biryani,Luxury Premium
Al Khwaja,3.0,400.0,Bellandur,North Indian,Mid-Range
Al Madhina Roll House,3.4,300.0,Kammanahalli,North Indian,Budget-Friendly
Al Madina Family Restaurant,2.8,500.0,Basavanagudi,North Indian,Luxury Premium
Al Madina Roll House,3.6,150.0,Kalyan Nagar,Biryani,Budget-Friendly
Al Manar,2.8,400.0,Koramangala 7Th Block,South Indian,Mid-Range
Al Noor,3.7,350.0,Brigade Road,North Indian,Mid-Range
Al Sadique,3.9,450.0,Rajajinagar,North Indian,Luxury Premium
Al Sadique Restaurant,3.4,350.0,Mg Road,Mughlai,Mid-Range
Al Swaad Take Away,3.1,350.0,Brigade Road,North Indian,Mid-Range
Al Taj Fast Food,3.2,600.0,Rajajinagar,Fast Food,Luxury Premium
Al Zaiqa Hotel,3.4,200.0,Marathahalli,Chinese,Budget-Friendly
Alampur Bar And Restaurant,3.7,900.0,Brigade Road,Chinese,Luxury Premium
Alankar Restaurant,2.8,800.0,Marathahalli,South Indian,Luxury Premium
Alankrutha,3.8,500.0,Koramangala 5Th Block,Andhra,Luxury Premium
Alba - Jw Marriott Bengaluru,4.4,4000.0,Church Street,Italian,Luxury Premium
Al-Badia Restaurant,4.2,700.0,Kalyan Nagar,Arabian,Luxury Premium
Al-Baik Kabab Corner,3.2,350.0,Malleshwaram,Kebab,Mid-Range
Al-Baik Tandoori Restaurant,3.6,450.0,Frazer Town,North Indian,Luxury Premium
Al-Bek,3.9,650.0,"Byresandra,Tavarekere,Madiwala",North Indian,Luxury Premium
Albert Bakery,4.3,150.0,Frazer Town,Bakery,Budget-Friendly
Alchemy - The Chancery Pavilion,4.3,2000.0,Brigade Road,Modern Indian,Luxury Premium
Alchemy Coffee Roasters,4.2,500.0,Basavanagudi,Cafe,Luxury Premium
Alfa Family Restaurant,3.0,400.0,Basavanagudi,North Indian,Mid-Range
Alfresco By Bene -Sheraton Grand Bangalore Hotel At...,3.7,2000.0,Malleshwaram,Continental,Luxury Premium
Al-Hyatt,3.5,300.0,Koramangala 6Th Block,Biryani,Budget-Friendly
Ali Snacks Point,3.4,150.0,Malleshwaram,Chinese,Budget-Friendly
Alibaba Cafe And Restaurant,2.9,700.0,Kammanahalli,Arabian,Luxury Premium
Alibi - Maya International Hotel,1.8,1200.0,Brigade Road,North Indian,Luxury Premium
Aliensip,3.6,200.0,Bannerghatta Road,Juices,Budget-Friendly
Alif Restaurant,3.6,600.0,Bannerghatta Road,North Indian,Luxury Premium
Aligarh House,4.4,400.0,"Byresandra,Tavarekere,Madiwala",North Indian,Mid-Range
Alikemom,2.8,300.0,Electronic City,North Indian,Budget-Friendly
